epoch,loss,loss_qfl,loss_dfl,loss_bbox,lr,mAP
1,2.5894,1.5545,0.38,0.6549,0.001,0.068
2,2.3463,1.4257,0.3446,0.576,0.001,0.049
3,2.2598,1.3468,0.3431,0.5699,0.001,0.0561
4,2.096,1.2541,0.3154,0.5265,0.001,0.062
5,2.0342,1.2206,0.3006,0.513,0.001,0.0348
6,1.8683,1.1141,0.2805,0.4737,0.001,0.0675
7,1.8881,1.1278,0.28,0.4803,0.001,0.0642
8,1.6596000000000002,1.0039,0.2497,0.406,0.001,0.0553
9,1.6234,0.964,0.2465,0.4129,0.001,0.0672
10,1.5335999999999999,0.9248,0.2312,0.3776,0.001,0.0946
11,1.4653,0.8691,0.2187,0.3775,0.001,0.0723
12,1.4378,0.8639,0.2224,0.3515,0.001,0.0723
13,1.2557,0.7562,0.1985,0.301,0.001,0.0852
14,1.1221,0.6804,0.1678,0.2739,0.001,0.0705
15,1.1480000000000001,0.6908,0.1739,0.2833,0.001,0.1022
16,1.0606,0.6177,0.1711,0.2718,0.001,0.0965
17,1.0338,0.6306,0.1526,0.2506,0.001,0.1175
18,0.9049999999999999,0.5377,0.1362,0.2311,0.001,0.1245
19,0.9643999999999999,0.5784,0.1485,0.2375,0.001,0.1346
20,0.9041,0.5394,0.1372,0.2275,0.001,0.1268
21,0.8435,0.5147,0.1221,0.2067,0.001,0.1414
22,0.7677,0.4673,0.1252,0.1752,0.001,0.1847
23,0.7675,0.4561,0.1237,0.1877,0.001,0.1971
24,0.7796,0.4705,0.1172,0.1919,0.001,0.1956
25,0.6718999999999999,0.4157,0.0957,0.1605,0.001,0.2015
26,0.6351,0.3729,0.1029,0.1593,0.001,0.2109
27,0.6622999999999999,0.4073,0.0962,0.1588,0.001,0.2385
28,0.6501,0.3948,0.0948,0.1605,0.001,0.2409
29,0.5411,0.3251,0.0786,0.1374,0.001,0.2374
30,0.5542,0.3204,0.0903,0.1435,0.001,0.2545
31,0.5035999999999999,0.2819,0.0854,0.1363,0.0001,0.2737
32,0.5134000000000001,0.3024,0.0875,0.1235,0.0001,0.2732
33,0.4074,0.2411,0.0664,0.0999,0.0001,0.2724
34,0.4786000000000001,0.2936,0.0637,0.1213,0.0001,0.288
35,0.3774,0.2339,0.0533,0.0902,0.0001,0.2742
36,0.4343000000000001,0.2614,0.0748,0.0981,0.0001,0.311
37,0.41759999999999997,0.2399,0.0637,0.114,0.0001,0.2995
38,0.4356,0.2526,0.0653,0.1177,0.0001,0.3119
39,0.28300000000000003,0.1733,0.0422,0.0675,0.0001,0.3257
40,0.30069999999999997,0.1805,0.0434,0.0768,0.0001,0.3147
41,0.4201,0.2697,0.0464,0.104,0.0001,0.3337
42,0.1861,0.1325,0.0314,0.0222,0.0001,0.3449
43,0.2817,0.1484,0.0392,0.0941,0.0001,0.339
44,0.3757,0.2308,0.0526,0.0923,0.0001,0.3266
45,0.356,0.2056,0.0505,0.0999,0.0001,0.3321
46,0.3266,0.1869,0.0463,0.0934,1e-05,0.3574
47,0.3325,0.2029,0.0462,0.0834,1e-05,0.33
48,0.2635,0.1484,0.0416,0.0735,1e-05,0.3662
49,0.2984,0.1608,0.052,0.0856,1e-05,0.339
50,0.25270000000000004,0.1438,0.0388,0.0701,1e-05,0.3476
